Elapsed Time,Phi 1,Phi 2,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
0.0863083,0.747579,5.543,-0.229928,-0.266498,-0.320453,-0.476811
0.0870601,0.748725,5.54161,-0.23572,-0.276627,-0.341592,-0.496595
0.0878103,0.749905,5.5405,-0.24048,-0.263023,-0.337105,-0.493231
0.0885602,0.751165,5.53904,-0.249128,-0.279723,-0.320134,-0.466511
0.08931,0.752292,5.53772,-0.246558,-0.279839,-0.329212,-0.479452
0.0900612,0.753576,5.53634,-0.254866,-0.283728,-0.324129,-0.472923
0.0908085,0.754924,5.535,-0.265496,-0.268838,-0.287373,-0.436092
0.0916857,0.75639,5.53379,-0.265716,-0.264043,-0.311582,-0.464267
0.0924344,0.75765,5.53256,-0.266633,-0.262855,-0.280077,-0.434797
0.0931896,0.758934,5.53147,-0.267931,-0.250997,-0.300631,-0.45665
0.093935,0.760249,5.53024,-0.272036,-0.254406,-0.294709,-0.452051
0.0946871,0.761503,5.52905,-0.270515,-0.255732,-0.263451,-0.425577
0.0954357,0.76286,5.52789,-0.275937,-0.251757,-0.282941,-0.44426
0.096182,0.764034,5.5268,-0.267632,-0.24564,-0.278458,-0.441014
0.0969667,0.765158,5.52577,-0.257019,-0.238451,-0.256922,-0.426636
0.0976868,0.766457,5.52468,-0.261941,-0.236428,-0.268544,-0.435535
0.0984327,0.76757,5.52358,-0.253127,-0.235578,-0.26482,-0.432104
0.099185,0.768735,5.52245,-0.251692,-0.235903,-0.23928,-0.409088
0.0999351,0.769814,5.52127,-0.244642,-0.239054,-0.257573,-0.423842
0.100683,0.77093,5.52026,-0.240604,-0.230955,-0.234157,-0.408373
0.101435,0.772063,5.51928,-0.239816,-0.222778,-0.249426,-0.419578
0.102187,0.77316,5.5181,-0.237081,-0.231965,-0.246196,-0.415111
0.102934,0.774056,5.51714,-0.222415,-0.224246,-0.237712,-0.401051
0.103684,0.775061,5.51613,-0.21962,-0.221158,-0.242329,-0.410149
0.104435,0.775984,5.51522,-0.211048,-0.212176,-0.240575,-0.408667
0.105183,0.777035,5.51435,-0.214193,-0.203627,-0.220352,-0.402759
0.105935,0.777982,5.51342,-0.210528,-0.201716,-0.235095,-0.406134
0.106684,0.778958,5.51244,-0.21,-0.203198,-0.232848,-0.403758
0.107432,0.779844,5.51167,-0.204114,-0.191136,-0.223321,-0.403875
0.108183,0.780569,5.51078,-0.187856,-0.190167,-0.231832,-0.402106
0.108939,0.781595,5.50987,-0.197934,-0.190771,-0.228839,-0.400865
0.109702,0.782401,5.50898,-0.189704,-0.190026,-0.226961,-0.392395
0.110466,0.783121,5.50821,-0.178501,-0.181528,-0.229203,-0.399134
0.111185,0.784002,5.50748,-0.181457,-0.17274,-0.217931,-0.39969
0.111935,0.784776,5.50684,-0.175525,-0.160246,-0.226616,-0.400902
0.112685,0.785467,5.50609,-0.167109,-0.160603,-0.227347,-0.400761
0.113434,0.786226,5.50544,-0.165675,-0.154408,-0.225837,-0.407312
0.114187,0.786793,5.50477,-0.152728,-0.150292,-0.229095,-0.402566
0.114935,0.787396,5.50415,-0.145223,-0.143862,-0.230603,-0.403773
0.115686,0.787983,5.50362,-0.137949,-0.133815,-0.240077,-0.418144
0.116435,0.788553,5.5029,-0.13276,-0.140066,-0.234264,-0.406046
0.117186,0.788984,5.50242,-0.118939,-0.128361,-0.237583,-0.408622
0.117937,0.789601,5.50194,-0.122568,-0.120061,-0.241553,-0.419114
0.118684,0.790118,5.50121,-0.118436,-0.130618,-0.241411,-0.411334
0.119437,0.790564,5.50076,-0.108981,-0.118452,-0.244506,-0.414337
0.120184,0.790951,5.5002,-0.0988702,-0.116935,-0.267998,-0.424607
0.12094,0.791595,5.49972,-0.110658,-0.112338,-0.249226,-0.41902
0.121683,0.792043,5.49937,-0.104648,-0.0998885,-0.266419,-0.443522
0.122434,0.792526,5.49889,-0.104349,-0.100153,-0.254621,-0.425853
0.123191,0.79292,5.49844,-0.0984944,-0.098119,-0.258389,-0.428763
0.123934,0.793393,5.49794,-0.0995031,-0.101539,-0.275098,-0.443551
0.124686,0.793793,5.49753,-0.0951817,-0.0990317,-0.264699,-0.434493
0.125435,0.794007,5.49709,-0.0784337,-0.0971392,-0.270619,-0.437002
0.126185,0.794613,5.49676,-0.0942243,-0.0881836,-0.2769,-0.465546
0.126935,0.794867,5.4965,-0.0814969,-0.0766613,-0.276333,-0.446828
0.127687,0.795188,5.49595,-0.076207,-0.0876621,-0.281216,-0.448335
0.128433,0.795446,5.49554,-0.0690726,-0.0883103,-0.31242,-0.467259
0.129186,0.795781,5.4953,-0.070029,-0.0767283,-0.290432,-0.456629
0.129935,0.795982,5.49488,-0.061967,-0.0803307,-0.296442,-0.459441
0.130683,0.796436,5.49455,-0.0728956,-0.0777714,-0.313327,-0.485819
0.131436,0.796606,5.49426,-0.060971,-0.0726007,-0.305218,-0.468138
0.132183,0.796964,5.49398,-0.0656267,-0.0687786,-0.328326,-0.497726
0.132934,0.797339,5.4936,-0.069893,-0.0716582,-0.312679,-0.476702
0.133685,0.797613,5.49335,-0.0660579,-0.0659213,-0.317386,-0.481802
